METAZOA lab 0 par -1 children 1,3 d2root 0 gainW 0 lossW 0
Placozoa lab 1 par 0 children 2 d2root 1 gainW 0 lossW 0
tad lab 2 par 1 children -1 d2root 2 gainW 0 lossW 0
Eumetazoa lab 3 par 0 children 4,7,9 d2root 1 gainW 0 lossW 0
Cnidaria lab 4 par 3 children 321,323 d2root 2 gainW 0 lossW 0
Hydrozoa lab 321 par 4 children 322 d2root 3 gainW 0 lossW 0
hma lab 322 par 321 children -1 d2root 4 gainW 0 lossW 0
Anthozoa lab 323 par 4 children 5,6 d2root 3 gainW 0 lossW 0
nve lab 5 par 323 children -1 d2root 4 gainW 0 lossW 0
plo lab 6 par 323 children -1 d2root 4 gainW 0 lossW 0
Ctenophora lab 7 par 3 children 8 d2root 2 gainW 0 lossW 0
mle lab 8 par 7 children -1 d2root 3 gainW 0 lossW 0
Bilateria lab 9 par 3 children 10,16,129 d2root 2 gainW 0 lossW 0
Platyhelminthes lab 10 par 9 children 327,11,14 d2root 3 gainW 0 lossW 0
Cestoda lab 327 par 10 children 328,329 d2root 4 gainW 0 lossW 0
emu lab 328 par 327 children -1 d2root 5 gainW 0 lossW 0
egr lab 329 par 327 children -1 d2root 5 gainW 0 lossW 0
Trematoda lab 11 par 10 children 12,13 d2root 4 gainW 0 lossW 0
sma lab 12 par 11 children -1 d2root 5 gainW 0 lossW 0
sja lab 13 par 11 children -1 d2root 5 gainW 0 lossW 0
Rhabditophora lab 14 par 10 children 15 d2root 4 gainW 0 lossW 0
sme lab 15 par 14 children -1 d2root 5 gainW 0 lossW 0
Protostomia lab 16 par 9 children 17,120 d2root 3 gainW 0 lossW 0
Ecdysozoa lab 17 par 16 children 18,50 d2root 4 gainW 0 lossW 0
Nematoda lab 18 par 17 children 19,44 d2root 5 gainW 0 lossW 0
Chromadorea lab 19 par 18 children 20,22,25,37,41 d2root 6 gainW 0 lossW 0
Ascaridida lab 20 par 19 children 21 d2root 7 gainW 0 lossW 0
asu lab 21 par 20 children -1 d2root 8 gainW 0 lossW 0
Tylenchida lab 22 par 19 children 23,24 d2root 7 gainW 0 lossW 0
mha lab 23 par 22 children -1 d2root 8 gainW 0 lossW 0
min lab 24 par 22 children -1 d2root 8 gainW 0 lossW 0
Rhabditida lab 25 par 19 children 26,32,34 d2root 7 gainW 0 lossW 0
Rhabditoidea lab 26 par 25 children 27,28,29,30,31 d2root 8 gainW 0 lossW 0
cbn lab 27 par 26 children -1 d2root 9 gainW 0 lossW 0
cbr lab 28 par 26 children -1 d2root 9 gainW 0 lossW 0
cel lab 29 par 26 children -1 d2root 9 gainW 0 lossW 0
cja lab 30 par 26 children -1 d2root 9 gainW 0 lossW 0
crm lab 31 par 26 children -1 d2root 9 gainW 0 lossW 0
Strongylida lab 32 par 25 children 33,324 d2root 8 gainW 0 lossW 0
nam lab 33 par 32 children -1 d2root 9 gainW 0 lossW 0
hco lab 324 par 32 children -1 d2root 9 gainW 0 lossW 0
Panagrolaimoidea lab 34 par 25 children 35,36 d2root 8 gainW 0 lossW 0
sra lab 35 par 34 children -1 d2root 9 gainW 0 lossW 0
prd lab 36 par 34 children -1 d2root 9 gainW 0 lossW 0
Spirurida lab 37 par 19 children 38,39,40 d2root 7 gainW 0 lossW 0
llo lab 38 par 37 children -1 d2root 8 gainW 0 lossW 0
ovo lab 39 par 37 children -1 d2root 8 gainW 0 lossW 0
bma lab 40 par 37 children -1 d2root 8 gainW 0 lossW 0
Diplogasterida lab 41 par 19 children 42,43 d2root 7 gainW 0 lossW 0
ppc lab 42 par 41 children -1 d2root 8 gainW 0 lossW 0
pex lab 43 par 41 children -1 d2root 8 gainW 0 lossW 0
Enoplea lab 44 par 18 children 45,47 d2root 6 gainW 0 lossW 0
Trichinellidae lab 45 par 44 children 46 d2root 7 gainW 0 lossW 0
tsp lab 46 par 45 children -1 d2root 8 gainW 0 lossW 0
Trichuridae lab 47 par 44 children 48,49 d2root 7 gainW 0 lossW 0
tsu lab 48 par 47 children -1 d2root 8 gainW 0 lossW 0
tmu lab 49 par 47 children -1 d2root 8 gainW 0 lossW 0
PanarthropodaArthropoda lab 50 par 17 children 304,303 d2root 5 gainW 0 lossW 0
Chelicerata lab 304 par 50 children 333,335 d2root 6 gainW 0 lossW 0
Parasitiformes lab 333 par 304 children 334 d2root 7 gainW 0 lossW 0
isc lab 334 par 333 children -1 d2root 8 gainW 0 lossW 0
Acariformes lab 335 par 304 children 305 d2root 7 gainW 0 lossW 0
tur lab 305 par 335 children -1 d2root 8 gainW 0 lossW 0
Mandibulata lab 303 par 50 children 51,118 d2root 6 gainW 0 lossW 0
Pancrustacea lab 51 par 303 children 52,54 d2root 7 gainW 0 lossW 0
Crustacea lab 52 par 51 children 53 d2root 8 gainW 0 lossW 0
dpu lab 53 par 52 children -1 d2root 9 gainW 0 lossW 0
